ax,ay,az,gx,gy,gz,dt
0.0694,0.0046,0.9997,0.3125,0.6098,-0.6631,0.012000
0.0702,0.0056,1.0010,0.2668,0.6098,-0.4802,0.012000
0.0717,0.0042,0.9980,0.2591,0.5488,-0.5488,0.012000
0.0738,0.0056,0.9974,1.9970,2.2866,-0.6936,0.012000
0.0881,0.0241,1.0054,1.6311,2.7134,-1.0061,0.012000
0.0685,0.0002,1.0139,2.5457,4.5808,-1.6006,0.012000
0.0481,-0.0069,0.9893,3.0183,5.2363,-0.9985,0.012000
0.0748,0.0233,0.9750,0.9299,2.5762,-0.7546,0.012000
0.0637,-0.0005,1.0063,-2.2866,-0.8537,-0.9070,0.012000
0.0697,-0.0058,0.9941,-0.6098,-0.1829,0.9604,0.012000
0.0518,0.0068,1.0016,-0.6250,-0.3506,1.7149,0.012000
0.0589,0.0186,1.0034,-0.4116,-0.2744,0.3735,0.012000
0.0606,-0.0015,0.9999,-0.3125,-0.3811,-0.7241,0.012000
0.0499,0.0000,1.0014,-0.1067,-0.8384,-0.2591,0.012000
0.0574,0.0005,0.9980,-0.9375,-1.9360,-0.2287,0.012000
0.1031,0.0268,1.0038,-1.1509,-2.5000,-0.3887,0.012000
0.0721,0.0041,1.0003,0.2210,-0.6021,-0.3887,0.012000
0.0618,0.0029,1.0005,0.1296,-0.5488,-0.3125,0.012000
0.0822,0.0023,0.9996,0.2591,0.1829,-1.1814,0.012000
0.0732,0.0053,1.0005,0.4649,0.8079,-0.6707,0.012000
0.0691,0.0056,1.0015,0.2973,0.8384,-0.4726,0.012000
0.0696,0.0045,0.9977,0.2287,0.9070,-0.6631,0.012000
0.0697,0.0061,0.9984,0.3354,1.0290,-0.6936,0.012000
0.0669,0.0065,1.0017,0.2896,0.8841,-0.6402,0.012000
0.0708,0.0063,1.0007,0.3277,0.4954,-0.5869,0.012000
0.0709,0.0054,1.0002,0.2973,0.3430,-0.5412,0.012000
0.0675,0.0048,1.0004,0.2363,0.3887,-0.5640,0.012000
0.0663,0.0047,0.9999,0.2134,0.4192,-0.5869,0.012000
0.0692,0.0045,0.9990,0.8613,1.0366,-0.6479,0.012000
0.0664,0.0113,0.9993,0.6936,1.1509,-0.7241,0.012000
0.0554,0.0343,1.0080,1.1509,1.7912,-2.1189,0.012000
0.0798,-0.0067,0.9987,1.8140,2.5076,-4.3521,0.012000
0.0635,0.0112,1.0009,1.4405,2.8430,-3.3994,0.012000
0.0545,0.0370,1.0067,1.0366,2.4924,-3.6128,0.012000
0.0854,0.0091,1.0274,2.1189,4.0320,-6.2652,0.012000
